generator,capacity_mw,fuel_type,alt_fuel,heat_rate
FAIRFAX,2.567,WAT,,
JACKMAN,2.582,WAT,,
ROCHESTER LANDFILL,2.642,LFG,,
CHERRY 7,2.7,DFO,,
RIVERSIDE 8,2.737,WAT,,
GOODWIN DAM,2.8,WAT,,
CROSSROADS LANDFILL,2.806,LFG,,
AYERS ISLAND,3.083,WAT,,
SHAWMUT,3.254,WAT,,
PROCTOR,3.301,WAT,,
MARSHFIELD 6 HYDRO,3.349,WAT,,
CHERRY 8,3.4,NG,,10.55555556
MILFORD HYDRO,3.429,WAT,,
BULLS BRIDGE,3.667,WAT,,
MATEP (DIESEL),3.901,DFO,,
FITCHBURG LANDFILL,3.906,LFG,,
DODGE FALLS-NEW,3.912,WAT,,
RAINBOW 1 HYDRO,4.1,WAT,,
RAINBOW 2 HYDRO,4.1,WAT,,
BRASSUA HYDRO,4.203,WAT,,
ESSEX 19 HYDRO,4.253,WAT,,
MOORE 5,4.47,WAT,,
SEARSBURG,4.533,WAT,,
HYDRO KENNEBEC,4.616,WAT,,
CHERRY 12,4.999,DFO,NG,10.55555556
MARBLEHEAD DIESELS,5,DFO,,
DEXTER 2,5.147,NG,,
DERBY DAM,5.277,WAT,,
MONTVILLE 10 AND 11,5.354,KER,,12.38177677
SHELDON SPRINGS,5.584,WAT,,
SHERMAN,6.22,WAT,,
BONNY EAGLE/W. BUXTON,6.253,WAT,,
TURNERSFALLS,6.4,WAT,,
AMOSKEAG,6.51,WAT,,
PEJEPSCOT,6.636,WAT,,
AZISCOHOS HYDRO,6.645,WAT,,
GEORGES RIVER ENERGY,6.756,WDS,,
WEST ENFIELD,6.774,WAT,,
BRUNSWICK,6.896,WAT,,
ATHENS ENERGY LLC_1,7.1,WDS,,
WESTON,7.191,WAT,,
BRIDGEPORT FUEL CELL,7.209,NG,,9.964852762
LAWRENCE HYDRO,7.301,WAT,,
ESSEX DIESELS,7.305,DFO,,9.8
PONTOOK HYDRO,7.568,WAT,,
FRONT STREET DIESELS 1-3,7.705,DFO,,10.69633508
CATARACT EAST,8,WAT,,
BOOT MILLS,8.175,WAT,,
WORUMBO HYDRO,8.502,WAT,,
ELLSWORTH HYDRO,8.831,WAT,,
RJOL HYDRO,10.221,WAT,,
MCINDOES,10.577,WAT,,
DERBY PARK FUEL CELL PLANT,10.661,NG,,
SMITH,10.803,WAT,,
ECO MAINE,10.892,MSW,,
HIRAM,11.24,WAT,,
SES CONCORD,11.958,MSW,,
GORGE 1 DIESEL,12.116,DFO,,55.71962617
LISBON RESOURCE RECOVERY,12.403,MSW,,
"NERP SPRINGFIELD, LLC",12.573,WDS,,
ASCUTNEY GT,12.644,DFO,,22.78571429
BRISTOL REFUSE,12.879,MSW,,
MADISON HYDRO,13.128,WAT,,
COBBLE MOUNTAIN,13.184,WAT,,
MAT3,13.45,DFO,,
SHREWSBURY DIESELS,13.65,DFO,,169.1538462
BRIDGEWATER,13.976,WDS,,
DEERFIELD 5,13.99,WAT,,
FRAMINGHAM JET 1,14.175,DFO,,19.4952381
"NERP WHITEFIELD, LLC",14.316,WDS,,
"NERP FITCHBURG, LLC",14.452,WDS,,
FRAMINGHAM JET 2,14.683,DFO,,19.4952381
WILLIAMS,14.9,WAT,,
SECREC-PRESTON,14.978,MSW,,
FRAMINGHAM JET 3,15.25,DFO,,19.4952381
GREAT LAKES - BERLIN,15.347,WAT,,
LOWER LAMOILLE COMPOSITE,15.533,WAT,,
HARRIS 1,16.508,WAT,,
HADLEY FALLS 1&2,16.924,WAT,,
KIMB ROCKY RIVER PH2,16.928,NG,,
LOST NATION,17.71,DFO,,16.21604938
DEVON 10,18.843,KER,,11.5
DEERFIELD 2/LWR DRFIELD,19.019,WAT,,
MIDDLETOWN 10,19.029,JF,,16
RYEGATE 1-NEW,19.5,WDS,,
CAPE GT 4,19.978,DFO,,36.11627907
"NERP WEST ENFIELD, LLC",20.007,WDS,,
CAPE GT 5,20.272,DFO,,35.5
"NERP TAMWORTH, LLC",20.308,WDS,,
SCHILLER CT 1,20.457,KER,,16.03296703
FRANKLIN DRIVE 10,20.527,KER,,14.33333333
TORRINGTON TERMINAL 10,20.748,KER,,14.5
BRANFORD 10,20.95,KER,,14.6875
KENDALL JET 1,20.986,DFO,,
SKELTON,21.6,WAT,,
DARTMOUTH CT GENERATOR 3,21.778,NG,DFO,8.402389357
KENDALL STEAM 3,21.81,NG,,
COMERFORD 1,22,WAT,,
MERRIMACK CT1,22.038,KER,,16
SWANTON GT-1,22.117,DFO,,18.65625
SWANTON GT-2,22.161,DFO,,18.65625
MERRIMACK CT2,22.385,KER,,16
WHITE LAKE JET,22.397,KER,,16.6827957
BURLINGTON GT,22.468,DFO,,18.48550725
COS COB 14,22.602,KER,,14.8
COS COB 13,22.852,KER,,14.8
COS COB 10,23,KER,,14.82352941
COS COB 11,23,KER,,14.82352941
COS COB 12,23,KER,,14.82352941
JOHNSTON LFG TURBINE PLANT,26.014,LFG,,
ROCKY RIVER,26.502,PS,,
RUMFORD FALLS,26.669,WAT,,
MONTY,26.96,WAT,,
SEMASS 2,27.576,MSW,DFO,
STEVENSON,28.634,WAT,,
WYMAN HYDRO 3,28.836,WAT,,
WYMAN HYDRO 1,28.998,WAT,,
WYMAN HYDRO 2,29.882,WAT,,
RESCO SAUGUS,30.114,MSW,,
WHEELABRATOR NORTH ANDOVER,30.423,MSW,,
GULF ISLAND COMPOSITE,32.89,WAT,,
HARRIS 3,33.84,WAT,,
HARRIS 2,34.5,WAT,,
VERNON,34.9,WAT,,
REGENERATE LIVERMORE FALLS,35.63,WDS,,
DEVON 14,37.47,KER,NG,11.5
PLAINFIELD RENEWABLE ENERGY,38.021,WDS,,
